2026-01-20 14:52:53,838 INFO    MainThread:15618 [wandb_setup.py:_flush():81] Current SDK version is 0.24.0
2026-01-20 14:52:53,839 INFO    MainThread:15618 [wandb_setup.py:_flush():81] Configure stats pid to 15618
2026-01-20 14:52:53,839 INFO    MainThread:15618 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-01-20 14:52:53,839 INFO    MainThread:15618 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/manjotdola/Downloads/Projects/PrintEar/wandb/run-20260120_145253-1akcu1wc/logs/debug.log
2026-01-20 14:52:53,839 INFO    MainThread:15618 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/manjotdola/Downloads/Projects/PrintEar/wandb/run-20260120_145253-1akcu1wc/logs/debug-internal.log
2026-01-20 14:52:53,839 INFO    MainThread:15618 [wandb_init.py:init():844] calling init triggers
2026-01-20 14:52:53,839 INFO    MainThread:15618 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'epochs': 50, 'batch_size': 16, 'architecture': 'CNN', 'dataset': 'MFCC Features', 'learning_rate': 0.001, 'n_mfcc': 13, '_wandb': {'code_path': 'code/train.py'}}
2026-01-20 14:52:53,839 INFO    MainThread:15618 [wandb_init.py:init():892] starting backend
2026-01-20 14:52:54,081 INFO    MainThread:15618 [wandb_init.py:init():895] sending inform_init request
2026-01-20 14:52:54,093 INFO    MainThread:15618 [wandb_init.py:init():903] backend started and connected
2026-01-20 14:52:54,108 INFO    MainThread:15618 [wandb_init.py:init():973] updated telemetry
2026-01-20 14:52:54,109 INFO    MainThread:15618 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-01-20 14:52:54,455 INFO    MainThread:15618 [wandb_init.py:init():1044] starting run threads in backend
2026-01-20 14:52:54,484 INFO    MainThread:15618 [wandb_run.py:_console_start():2529] atexit reg
2026-01-20 14:52:54,484 INFO    MainThread:15618 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-01-20 14:52:54,484 INFO    MainThread:15618 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-01-20 14:52:54,484 INFO    MainThread:15618 [wandb_run.py:_redirect():2469] Redirects installed.
2026-01-20 14:52:54,485 INFO    MainThread:15618 [wandb_init.py:init():1084] run started, returning control to user process
2026-01-20 14:52:56,613 INFO    wandb-AsyncioManager-main:15618 [service_client.py:_forward_responses():80] Reached EOF.
2026-01-20 14:52:56,613 INFO    wandb-AsyncioManager-main:15618 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
